Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,,,,,
,,,,,,,,,,,,,,,RP,Brian Duensing (13117509),Brian Duensing,13117509,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CHC,0,,,James Norwood,James Norwood (13117551)
,,,,,,,,,,,,,,,RP,Jimmy Herget (13117511),Jimmy Herget,13117511,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CIN,-0.65,,,Jesus Reyes,Jesus Reyes (13117568)
,,,,,,,,,,,,,,,RP,Keury Mella (13117518),Keury Mella,13117518,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CIN,0,,,Tim Collins,Tim Collins (13117575)
,,,,,,,,,,,,,,,RP,Christian Bergman (13117525),Christian Bergman,13117525,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CHC,0,,,Allen Webster,Allen Webster (13117606)
,,,,,,,,,,,,,,,RP,Raisel Iglesias (13117529),Raisel Iglesias,13117529,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CIN,3.43,,,Michael Lorenzen,Michael Lorenzen (13117634)
,,,,,,,,,,,,,,,RP,Rowan Wick (13117534),Rowan Wick,13117534,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CHC,4.04,,,Ruben Alaniz,Ruben Alaniz (13117644)
,,,,,,,,,,,,,,,SP,Tim Adleman (13117550),Tim Adleman,13117550,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CIN,0,,,Brandon Dixon,Brandon Dixon (13116296)
,,,,,,,,,,,,,,,RP,James Norwood (13117551),James Norwood,13117551,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CHC,3.65,,,Niko Goodrum,Niko Goodrum (13116324)
,,,,,,,,,,,,,,,RP,Jesus Reyes (13117568),Jesus Reyes,13117568,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CIN,0,,,Brian Flynn,Brian Flynn (13117436)
,,,,,,,,,,,,,,,RP,Tim Collins (13117575),Tim Collins,13117575,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CHC,1.59,,,Ian Kennedy,Ian Kennedy (13117440)
,,,,,,,,,,,,,,,RP,Allen Webster (13117606),Allen Webster,13117606,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CHC,1.56,,,Louis Coleman,Louis Coleman (13117460)
,,,,,,,,,,,,,,,RP,Michael Lorenzen (13117634),Michael Lorenzen,13117634,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CIN,2.28,,,Eduardo Paredes,Eduardo Paredes (13117493)
,,,,,,,,,,,,,,,RP,Ruben Alaniz (13117644),Ruben Alaniz,13117644,P,4000,CHC@CIN 08/11/2019 01:10PM ET,CIN,-1.35,,,Joe Jimenez,Joe Jimenez (13117494)
,,,,,,,,,,,,,,,1B,Brandon Dixon (13116296),Brandon Dixon,13116296,1B,4000,KC@DET 08/11/2019 01:10PM ET,DET,6.72,,,Casey Mize,Casey Mize (13117526)
,,,,,,,,,,,,,,,OF/SS,Niko Goodrum (13116324),Niko Goodrum,13116324,SS/OF,4000,KC@DET 08/11/2019 01:10PM ET,DET,7.5,,,Andres Machado,Andres Machado (13117536)
,,,,,,,,,,,,,,,SP,Brian Flynn (13117436),Brian Flynn,13117436,P,4000,KC@DET 08/11/2019 01:10PM ET,KC,4.47,,,Tim Hill,Tim Hill (13117537)
,,,,,,,,,,,,,,,SP,Ian Kennedy (13117440),Ian Kennedy,13117440,P,4000,KC@DET 08/11/2019 01:10PM ET,KC,3.16,,,Jake Newberry,Jake Newberry (13117547)
,,,,,,,,,,,,,,,RP,Louis Coleman (13117460),Louis Coleman,13117460,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,0,,,Scott Barlow,Scott Barlow (13117573)
,,,,,,,,,,,,,,,RP,Eduardo Paredes (13117493),Eduardo Paredes,13117493,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,0,,,Austin Adams,Austin Adams (13117581)
,,,,,,,,,,,,,,,RP,Joe Jimenez (13117494),Joe Jimenez,13117494,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,3.04,,,Zac Reininger,Zac Reininger (13117583)
,,,,,,,,,,,,,,,SP,Casey Mize (13117526),Casey Mize,13117526,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,0,,,Eduardo Jimenez,Eduardo Jimenez (13117591)
,,,,,,,,,,,,,,,RP,Andres Machado (13117536),Andres Machado,13117536,P,4000,KC@DET 08/11/2019 01:10PM ET,KC,0,,,Kevin McCarthy,Kevin McCarthy (13117614)
,,,,,,,,,,,,,,,RP,Tim Hill (13117537),Tim Hill,13117537,P,4000,KC@DET 08/11/2019 01:10PM ET,KC,1.9,,,Blaine Hardy,Blaine Hardy (13117620)
,,,,,,,,,,,,,,,RP,Jake Newberry (13117547),Jake Newberry,13117547,P,4000,KC@DET 08/11/2019 01:10PM ET,KC,3.26,,,Jose Cisnero,Jose Cisnero (13117635)
,,,,,,,,,,,,,,,RP,Scott Barlow (13117573),Scott Barlow,13117573,P,4000,KC@DET 08/11/2019 01:10PM ET,KC,3.54,,,Jose Fernandez,Jose Fernandez (13117637)
,,,,,,,,,,,,,,,RP,Austin Adams (13117581),Austin Adams,13117581,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,1.39,,,John Schreiber,John Schreiber (13117638)
,,,,,,,,,,,,,,,RP,Zac Reininger (13117583),Zac Reininger,13117583,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,0.01,,,Dansby Swanson,Dansby Swanson (13116290)
,,,,,,,,,,,,,,,RP,Eduardo Jimenez (13117591),Eduardo Jimenez,13117591,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,1.98,,,R.J. Alvarez,R.J. Alvarez (13117453)
,,,,,,,,,,,,,,,RP,Kevin McCarthy (13117614),Kevin McCarthy,13117614,P,4000,KC@DET 08/11/2019 01:10PM ET,KC,1.57,,,Ben Meyer,Ben Meyer (13117485)
,,,,,,,,,,,,,,,RP,Blaine Hardy (13117620),Blaine Hardy,13117620,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,2.24,,,Luke Jackson,Luke Jackson (13117497)
,,,,,,,,,,,,,,,RP,Jose Cisnero (13117635),Jose Cisnero,13117635,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,3.04,,,Jacob Webb,Jacob Webb (13117523)
,,,,,,,,,,,,,,,RP,Jose Fernandez (13117637),Jose Fernandez,13117637,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,-2.24,,,Mark Melancon,Mark Melancon (13117530)
,,,,,,,,,,,,,,,RP,John Schreiber (13117638),John Schreiber,13117638,P,4000,KC@DET 08/11/2019 01:10PM ET,DET,-0.92,,,Austin Brice,Austin Brice (13117532)
,,,,,,,,,,,,,,,SS,Dansby Swanson (13116290),Dansby Swanson,13116290,SS,4000,ATL@MIA 08/11/2019 01:10PM ET,ATL,8.39,,,Tyler Kinley,Tyler Kinley (13117543)
,,,,,,,,,,,,,,,RP,R.J. Alvarez (13117453),R.J. Alvarez,13117453,P,4000,ATL@MIA 08/11/2019 01:10PM ET,MIA,0,,,Shane Greene,Shane Greene (13117548)
,,,,,,,,,,,,,,,RP,Ben Meyer (13117485),Ben Meyer,13117485,P,4000,ATL@MIA 08/11/2019 01:10PM ET,MIA,0,,,Brett Graves,Brett Graves (13117584)
,,,,,,,,,,,,,,,RP,Luke Jackson (13117497),Luke Jackson,13117497,P,4000,ATL@MIA 08/11/2019 01:10PM ET,ATL,3.74,,,Jeff Brigham,Jeff Brigham (13117586)
,,,,,,,,,,,,,,,RP,Jacob Webb (13117523),Jacob Webb,13117523,P,4000,ATL@MIA 08/11/2019 01:10PM ET,ATL,3.13,,,Chris Martin,Chris Martin (13117598)
,,,,,,,,,,,,,,,RP,Mark Melancon (13117530),Mark Melancon,13117530,P,4000,ATL@MIA 08/11/2019 01:10PM ET,ATL,2.88,,,Jarlin Garcia,Jarlin Garcia (13117618)
,,,,,,,,,,,,,,,RP,Austin Brice (13117532),Austin Brice,13117532,P,4000,ATL@MIA 08/11/2019 01:10PM ET,MIA,4.08,,,Ben Rowen,Ben Rowen (13117623)
,,,,,,,,,,,,,,,RP,Tyler Kinley (13117543),Tyler Kinley,13117543,P,4000,ATL@MIA 08/11/2019 01:10PM ET,MIA,2.51,,,Aaron Barrett,Aaron Barrett (13117446)
,,,,,,,,,,,,,,,RP,Shane Greene (13117548),Shane Greene,13117548,P,4000,ATL@MIA 08/11/2019 01:10PM ET,ATL,3.26,,,Sammy Solis,Sammy Solis (13117447)
,,,,,,,,,,,,,,,RP,Brett Graves (13117584),Brett Graves,13117584,P,4000,ATL@MIA 08/11/2019 01:10PM ET,MIA,0,,,J.J. Hoover,J.J. Hoover (13117449)
,,,,,,,,,,,,,,,RP,Jeff Brigham (13117586),Jeff Brigham,13117586,P,4000,ATL@MIA 08/11/2019 01:10PM ET,MIA,4.38,,,Eric Hanhold,Eric Hanhold (13117461)
,,,,,,,,,,,,,,,RP,Chris Martin (13117598),Chris Martin,13117598,P,4000,ATL@MIA 08/11/2019 01:10PM ET,ATL,2.95,,,Vidal Nuno III,Vidal Nuno III (13117463)
,,,,,,,,,,,,,,,RP,Jarlin Garcia (13117618),Jarlin Garcia,13117618,P,4000,ATL@MIA 08/11/2019 01:10PM ET,MIA,2.99,,,Edwin Diaz,Edwin Diaz (13117470)
,,,,,,,,,,,,,,,RP,Ben Rowen (13117623),Ben Rowen,13117623,P,4000,ATL@MIA 08/11/2019 01:10PM ET,ATL,0,,,Sean Burnett,Sean Burnett (13117472)
,,,,,,,,,,,,,,,RP,Aaron Barrett (13117446),Aaron Barrett,13117446,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,0,,,Seth Lugo,Seth Lugo (13117512)
,,,,,,,,,,,,,,,RP,Sammy Solis (13117447),Sammy Solis,13117447,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,0,,,Scott Copeland,Scott Copeland (13117513)
,,,,,,,,,,,,,,,RP,J.J. Hoover (13117449),J.J. Hoover,13117449,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,0,,,Brad Brach,Brad Brach (13117524)
,,,,,,,,,,,,,,,RP,Eric Hanhold (13117461),Eric Hanhold,13117461,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,0,,,Jeurys Familia,Jeurys Familia (13117527)
,,,,,,,,,,,,,,,RP,Vidal Nuno III (13117463),Vidal Nuno III,13117463,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,0,,,Jonny Venters,Jonny Venters (13117528)
,,,,,,,,,,,,,,,RP,Edwin Diaz (13117470),Edwin Diaz,13117470,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,3.18,,,Donnie Hart,Donnie Hart (13117552)
,,,,,,,,,,,,,,,RP,Sean Burnett (13117472),Sean Burnett,13117472,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,0,,,Roenis Elias,Roenis Elias (13117574)
,,,,,,,,,,,,,,,RP,Seth Lugo (13117512),Seth Lugo,13117512,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,5.15,,,Wander Suero,Wander Suero (13117585)
,,,,,,,,,,,,,,,RP,Scott Copeland (13117513),Scott Copeland,13117513,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,0,,,Javy Guerra,Javy Guerra (13117597)
,,,,,,,,,,,,,,,RP,Brad Brach (13117524),Brad Brach,13117524,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,2.29,,,Robert Gsellman,Robert Gsellman (13117621)
,,,,,,,,,,,,,,,RP,Jeurys Familia (13117527),Jeurys Familia,13117527,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,1.73,,,Brooks Pounders,Brooks Pounders (13117639)
,,,,,,,,,,,,,,,RP,Jonny Venters (13117528),Jonny Venters,13117528,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,0.47,,,Chris Mazza,Chris Mazza (13117640)
,,,,,,,,,,,,,,,RP,Donnie Hart (13117552),Donnie Hart,13117552,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,3.69,,,Jason Kipnis,Jason Kipnis (13116328)
,,,,,,,,,,,,,,,RP,Roenis Elias (13117574),Roenis Elias,13117574,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,3.15,,,Luis Arraez,Luis Arraez (13116336)
,,,,,,,,,,,,,,,RP,Wander Suero (13117585),Wander Suero,13117585,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,2.88,,,Jordan Luplow,Jordan Luplow (13116342)
,,,,,,,,,,,,,,,RP,Javy Guerra (13117597),Javy Guerra,13117597,P,4000,WAS@NYM 08/11/2019 01:10PM ET,WAS,2.77,,,Hunter Wood,Hunter Wood (13117431)
,,,,,,,,,,,,,,,RP,Robert Gsellman (13117621),Robert Gsellman,13117621,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,3.02,,,Kyle Dowdy,Kyle Dowdy (13117433)
,,,,,,,,,,,,,,,RP,Brooks Pounders (13117639),Brooks Pounders,13117639,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,1.9,,,Gabriel Moya,Gabriel Moya (13117454)
,,,,,,,,,,,,,,,RP,Chris Mazza (13117640),Chris Mazza,13117640,P,4000,WAS@NYM 08/11/2019 01:10PM ET,NYM,2.68,,,Preston Guilmet,Preston Guilmet (13117467)
,,,,,,,,,,,,,,,2B,Jason Kipnis (13116328),Jason Kipnis,13116328,2B,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,7.32,,,Zack Weiss,Zack Weiss (13117473)
,,,,,,,,,,,,,,,2B/3B,Luis Arraez (13116336),Luis Arraez,13116336,2B/3B,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,6.98,,,Chih-Wei Hu,Chih-Wei Hu (13117495)
,,,,,,,,,,,,,,,OF,Jordan Luplow (13116342),Jordan Luplow,13116342,OF,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,6.38,,,Taylor Rogers,Taylor Rogers (13117499)
,,,,,,,,,,,,,,,SP,Hunter Wood (13117431),Hunter Wood,13117431,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,4.4,,,Brad Hand,Brad Hand (13117501)
,,,,,,,,,,,,,,,SP,Kyle Dowdy (13117433),Kyle Dowdy,13117433,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,2.25,,,Oliver Perez,Oliver Perez (13117505)
,,,,,,,,,,,,,,,RP,Gabriel Moya (13117454),Gabriel Moya,13117454,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,0,,,Jean Carlos Mejia,Jean Carlos Mejia (13117507)
,,,,,,,,,,,,,,,RP,Preston Guilmet (13117467),Preston Guilmet,13117467,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,0,,,Carlos Torres,Carlos Torres (13117519)
,,,,,,,,,,,,,,,RP,Zack Weiss (13117473),Zack Weiss,13117473,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,0,,,Tyler Duffey,Tyler Duffey (13117535)
,,,,,,,,,,,,,,,RP,Chih-Wei Hu (13117495),Chih-Wei Hu,13117495,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,0,,,Nick Wittgren,Nick Wittgren (13117559)
,,,,,,,,,,,,,,,RP,Taylor Rogers (13117499),Taylor Rogers,13117499,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,4.62,,,A.J. Cole,A.J. Cole (13117567)
,,,,,,,,,,,,,,,RP,Brad Hand (13117501),Brad Hand,13117501,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,4.36,,,Adam Cimber,Adam Cimber (13117633)
,,,,,,,,,,,,,,,RP,Oliver Perez (13117505),Oliver Perez,13117505,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,2.26,,,Cody Stashak,Cody Stashak (13117641)
,,,,,,,,,,,,,,,RP,Jean Carlos Mejia (13117507),Jean Carlos Mejia,13117507,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,0,,,Randy Dobnak,Randy Dobnak (13117642)
,,,,,,,,,,,,,,,RP,Carlos Torres (13117519),Carlos Torres,13117519,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,3.22,,,Josh Smith,Josh Smith (13117646)
,,,,,,,,,,,,,,,RP,Tyler Duffey (13117535),Tyler Duffey,13117535,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,3.58,,,Eric Thames,Eric Thames (13116301)
,,,,,,,,,,,,,,,RP,Nick Wittgren (13117559),Nick Wittgren,13117559,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,3.82,,,Jacob Barnes,Jacob Barnes (13117429)
,,,,,,,,,,,,,,,RP,A.J. Cole (13117567),A.J. Cole,13117567,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,3.4,,,Nick Gardewine,Nick Gardewine (13117455)
,,,,,,,,,,,,,,,RP,Adam Cimber (13117633),Adam Cimber,13117633,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,2.25,,,Michael Tonkin,Michael Tonkin (13117457)
,,,,,,,,,,,,,,,RP,Cody Stashak (13117641),Cody Stashak,13117641,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,3.49,,,Zach McAllister,Zach McAllister (13117459)
,,,,,,,,,,,,,,,RP,Randy Dobnak (13117642),Randy Dobnak,13117642,P,4000,CLE@MIN 08/11/2019 02:10PM ET,MIN,11.4,,,Zac Curtis,Zac Curtis (13117474)
,,,,,,,,,,,,,,,RP,Josh Smith (13117646),Josh Smith,13117646,P,4000,CLE@MIN 08/11/2019 02:10PM ET,CLE,2.73,,,Luke Farrell,Luke Farrell (13117484)
,,,,,,,,,,,,,,,1B,Eric Thames (13116301),Eric Thames,13116301,1B,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,5.88,,,Ariel Hernandez,Ariel Hernandez (13117508)
,,,,,,,,,,,,,,,SP,Jacob Barnes (13117429),Jacob Barnes,13117429,P,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,2.36,,,C.D. Pelham,C.D. Pelham (13117517)
,,,,,,,,,,,,,,,RP,Nick Gardewine (13117455),Nick Gardewine,13117455,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Aaron Wilkerson,Aaron Wilkerson (13117544)
,,,,,,,,,,,,,,,RP,Michael Tonkin (13117457),Michael Tonkin,13117457,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Wei-Chieh Huang,Wei-Chieh Huang (13117563)
,,,,,,,,,,,,,,,RP,Zach McAllister (13117459),Zach McAllister,13117459,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Shawn Kelley,Shawn Kelley (13117566)
,,,,,,,,,,,,,,,RP,Zac Curtis (13117474),Zac Curtis,13117474,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Austin Bibens-Dirkx,Austin Bibens-Dirkx (13117569)
,,,,,,,,,,,,,,,RP,Luke Farrell (13117484),Luke Farrell,13117484,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Jeffrey Springs,Jeffrey Springs (13117587)
,,,,,,,,,,,,,,,RP,Ariel Hernandez (13117508),Ariel Hernandez,13117508,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Yohander Mendez,Yohander Mendez (13117589)
,,,,,,,,,,,,,,,RP,C.D. Pelham (13117517),C.D. Pelham,13117517,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Jeanmar Gomez,Jeanmar Gomez (13117592)
,,,,,,,,,,,,,,,RP,Aaron Wilkerson (13117544),Aaron Wilkerson,13117544,P,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,1.98,,,Junior Guerra,Junior Guerra (13117600)
,,,,,,,,,,,,,,,RP,Wei-Chieh Huang (13117563),Wei-Chieh Huang,13117563,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,1.09,,,Matt Albers,Matt Albers (13117605)
,,,,,,,,,,,,,,,RP,Shawn Kelley (13117566),Shawn Kelley,13117566,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,3.12,,,Jeremy Jeffress,Jeremy Jeffress (13117616)
,,,,,,,,,,,,,,,RP,Austin Bibens-Dirkx (13117569),Austin Bibens-Dirkx,13117569,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Rafael Montero,Rafael Montero (13117617)
,,,,,,,,,,,,,,,RP,Jeffrey Springs (13117587),Jeffrey Springs,13117587,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,2.98,,,Alex Claudio,Alex Claudio (13117625)
,,,,,,,,,,,,,,,RP,Yohander Mendez (13117589),Yohander Mendez,13117589,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Chad Smith,Chad Smith (13117627)
,,,,,,,,,,,,,,,RP,Jeanmar Gomez (13117592),Jeanmar Gomez,13117592,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0.78,,,Devin Williams,Devin Williams (13117643)
,,,,,,,,,,,,,,,SP,Junior Guerra (13117600),Junior Guerra,13117600,P,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,3.42,,,Emmanuel Clase,Emmanuel Clase (13117645)
,,,,,,,,,,,,,,,RP,Matt Albers (13117605),Matt Albers,13117605,P,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,2.98,,,Paul Goldschmidt,Paul Goldschmidt (13116303)
,,,,,,,,,,,,,,,RP,Jeremy Jeffress (13117616),Jeremy Jeffress,13117616,P,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,2.57,,,Tommy Edman,Tommy Edman (13116326)
,,,,,,,,,,,,,,,RP,Rafael Montero (13117617),Rafael Montero,13117617,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,5.53,,,Lane Thomas,Lane Thomas (13116334)
,,,,,,,,,,,,,,,RP,Alex Claudio (13117625),Alex Claudio,13117625,P,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,1.61,,,Alex McRae,Alex McRae (13117438)
,,,,,,,,,,,,,,,RP,Chad Smith (13117627),Chad Smith,13117627,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Tommy Layne,Tommy Layne (13117445)
,,,,,,,,,,,,,,,RP,Devin Williams (13117643),Devin Williams,13117643,P,4000,TEX@MIL 08/11/2019 02:10PM ET,MIL,7.35,,,Ryan Meisinger,Ryan Meisinger (13117448)
,,,,,,,,,,,,,,,RP,Emmanuel Clase (13117645),Emmanuel Clase,13117645,P,4000,TEX@MIL 08/11/2019 02:10PM ET,TEX,3.32,,,Hunter Cervenka,Hunter Cervenka (13117456)
,,,,,,,,,,,,,,,1B,Paul Goldschmidt (13116303),Paul Goldschmidt,13116303,1B,4000,PIT@STL 08/11/2019 02:15PM ET,STL,7.75,,,Brandon Maurer,Brandon Maurer (13117462)
,,,,,,,,,,,,,,,2B/3B,Tommy Edman (13116326),Tommy Edman,13116326,2B/3B,4000,PIT@STL 08/11/2019 02:15PM ET,STL,6.02,,,Brett Cecil,Brett Cecil (13117471)
,,,,,,,,,,,,,,,OF,Lane Thomas (13116334),Lane Thomas,13116334,OF,4000,PIT@STL 08/11/2019 02:15PM ET,STL,2.85,,,Mike Hauschild,Mike Hauschild (13117476)
,,,,,,,,,,,,,,,SP,Alex McRae (13117438),Alex McRae,13117438,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,1.78,,,Jesus Liranzo,Jesus Liranzo (13117488)
,,,,,,,,,,,,,,,RP,Tommy Layne (13117445),Tommy Layne,13117445,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Tyler Lyons,Tyler Lyons (13117496)
,,,,,,,,,,,,,,,RP,Ryan Meisinger (13117448),Ryan Meisinger,13117448,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Merandy Gonzalez,Merandy Gonzalez (13117506)
,,,,,,,,,,,,,,,RP,Hunter Cervenka (13117456),Hunter Cervenka,13117456,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Chris Beck,Chris Beck (13117521)
,,,,,,,,,,,,,,,RP,Brandon Maurer (13117462),Brandon Maurer,13117462,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,0,,,Kyle Crick,Kyle Crick (13117533)
,,,,,,,,,,,,,,,RP,Brett Cecil (13117471),Brett Cecil,13117471,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Tyler Webb,Tyler Webb (13117562)
,,,,,,,,,,,,,,,RP,Mike Hauschild (13117476),Mike Hauschild,13117476,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,John Brebbia,John Brebbia (13117564)
,,,,,,,,,,,,,,,RP,Jesus Liranzo (13117488),Jesus Liranzo,13117488,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,0,,,Junior Fernandez,Junior Fernandez (13117588)
,,,,,,,,,,,,,,,RP,Tyler Lyons (13117496),Tyler Lyons,13117496,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,2.53,,,John Gant,John Gant (13117601)
,,,,,,,,,,,,,,,RP,Merandy Gonzalez (13117506),Merandy Gonzalez,13117506,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Richard Rodriguez,Richard Rodriguez (13117615)
,,,,,,,,,,,,,,,RP,Chris Beck (13117521),Chris Beck,13117521,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Geoff Hartlieb,Geoff Hartlieb (13117632)
,,,,,,,,,,,,,,,RP,Kyle Crick (13117533),Kyle Crick,13117533,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,3.04,,,Parker Markel,Parker Markel (13117636)
,,,,,,,,,,,,,,,RP,Tyler Webb (13117562),Tyler Webb,13117562,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,2.37,,,Matt Thaiss,Matt Thaiss (13116332)
,,,,,,,,,,,,,,,RP,John Brebbia (13117564),John Brebbia,13117564,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,4.16,,,Anthony Santander,Anthony Santander (13116361)
,,,,,,,,,,,,,,,RP,Junior Fernandez (13117588),Junior Fernandez,13117588,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Mark Canha,Mark Canha (13116330)
,,,,,,,,,,,,,,,RP,John Gant (13117601),John Gant,13117601,P,4000,PIT@STL 08/11/2019 02:15PM ET,STL,3.53,,,Matt Olson,Matt Olson (13116338)
,,,,,,,,,,,,,,,RP,Richard Rodriguez (13117615),Richard Rodriguez,13117615,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,2.25,,,Matt Chapman,Matt Chapman (13116356)
,,,,,,,,,,,,,,,RP,Geoff Hartlieb (13117632),Geoff Hartlieb,13117632,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,2.34,,,Chad Pinder,Chad Pinder (13116362)
,,,,,,,,,,,,,,,RP,Parker Markel (13117636),Parker Markel,13117636,P,4000,PIT@STL 08/11/2019 02:15PM ET,PIT,0.26,,,Austin Romine,Austin Romine (13116364)
,,,,,,,,,,,,,,,1B/3B,Matt Thaiss (13116332),Matt Thaiss,13116332,1B/3B,3900,LAA@BOS 08/11/2019 01:05PM ET,LAA,6.54,,,Thairo Estrada,Thairo Estrada (13116369)
,,,,,,,,,,,,,,,OF,Anthony Santander (13116361),Anthony Santander,13116361,OF,3900,HOU@BAL 08/11/2019 01:05PM ET,BAL,8.26,,,Josh VanMeter,Josh VanMeter (13116359)
,,,,,,,,,,,,,,,1B/OF,Mark Canha (13116330),Mark Canha,13116330,1B/OF,3900,OAK@CWS 08/11/2019 02:10PM ET,OAK,7.6,,,Austin Riley,Austin Riley (13116348)
